sensor_id,analog,mgl,timestamp
ETL1317714633862637,22892.0,0.0,2024-06-06 09:11:47
ETL4448779365468899,23734.0,0.0,2024-06-06 09:11:47
ETL4448779365468899,24170.0,0.0,2024-06-06 09:11:47
ETL1317714633862637,22520.0,0.0,2024-06-06 09:11:47
ETL6836861188871367,23830.0,0.0,2024-06-06 09:11:47
ETL6836861188871367,24444.0,0.0,2024-06-06 09:11:47
ETL1598212059793199,22372.0,0.0,2024-06-06 09:11:47
ETL1598212059793199,22759.0,0.0,2024-06-06 09:11:47
ETL2524509934905051,25242.0,0.0,2024-06-06 09:11:47
ETL2524509934905051,25660.0,0.0,2024-06-06 09:11:47
ETL4071287399758145,23157.0,0.0,2024-06-06 09:11:47
ETL4071287399758145,24149.0,0.0,2024-06-06 09:11:47
ETL7811811379611562,24656.0,0.0,2024-06-06 09:11:47
ETL7811811379611562,24737.0,0.0,2024-06-06 09:11:47
ETL1317714633862637,16119.0,0.09523809523809523,2024-06-06 11:17:26
ETL4448779365468899,10864.0,0.09523809523809523,2024-06-06 11:17:26
ETL7811811379611562,10349.0,0.09523809523809523,2024-06-06 11:17:26
ETL6836861188871367,15508.0,0.09523809523809523,2024-06-06 11:17:26
ETL2524509934905051,18456.0,0.09523809523809523,2024-06-06 11:17:26
ETL4071287399758145,11745.0,0.09523809523809523,2024-06-06 11:17:26
ETL1598212059793199,14189.0,0.09523809523809523,2024-06-06 11:17:26
ETL1317714633862637,16442.0,0.09523809523809523,2024-06-06 11:17:26
ETL4448779365468899,9893.0,0.09523809523809523,2024-06-06 11:17:26
ETL7811811379611562,10573.0,0.09523809523809523,2024-06-06 11:17:26
ETL2524509934905051,16450.0,0.09523809523809523,2024-06-06 11:17:26
ETL4071287399758145,11414.0,0.09523809523809523,2024-06-06 11:17:26
ETL6836861188871367,14145.0,0.09523809523809523,2024-06-06 11:17:26
ETL1598212059793199,13229.0,0.09523809523809523,2024-06-06 11:17:26
ETL4448779365468899,9118.0,0.09523809523809523,2024-06-06 11:17:26
ETL7811811379611562,9749.0,0.09523809523809523,2024-06-06 11:17:26
ETL1317714633862637,16356.0,0.09523809523809523,2024-06-06 11:17:26
ETL2524509934905051,16654.0,0.09523809523809523,2024-06-06 11:17:26
ETL4071287399758145,11330.0,0.09523809523809523,2024-06-06 11:17:26
ETL1598212059793199,13362.0,0.09523809523809523,2024-06-06 11:17:26
ETL6836861188871367,14442.0,0.09523809523809523,2024-06-06 11:17:26
ETL6836861188871367,9636.0,0.23809523809523808,2024-06-06 15:19:51
ETL2524509934905051,11346.0,0.23809523809523808,2024-06-06 15:19:51
ETL7811811379611562,6589.0,0.23809523809523808,2024-06-06 15:19:51
ETL1317714633862637,12195.0,0.23809523809523808,2024-06-06 15:19:51
ETL4071287399758145,7678.0,0.23809523809523808,2024-06-06 15:19:51
ETL4448779365468899,6850.0,0.23809523809523808,2024-06-06 15:19:51
ETL1598212059793199,9291.0,0.23809523809523808,2024-06-06 15:19:51
ETL6836861188871367,9151.0,0.23809523809523808,2024-06-06 15:19:51
ETL2524509934905051,10815.0,0.23809523809523808,2024-06-06 15:19:51
ETL7811811379611562,8319.0,0.23809523809523808,2024-06-06 15:19:51
ETL1317714633862637,11616.0,0.23809523809523808,2024-06-06 15:19:51
ETL7811811379611562,6152.0,0.23809523809523808,2024-06-06 15:19:51
ETL4071287399758145,8129.0,0.23809523809523808,2024-06-06 15:19:51
ETL4448779365468899,7068.0,0.23809523809523808,2024-06-06 15:19:51
ETL2524509934905051,10622.0,0.23809523809523808,2024-06-06 15:19:51
ETL1598212059793199,8394.0,0.23809523809523808,2024-06-06 15:19:51
ETL1317714633862637,11568.0,0.23809523809523808,2024-06-06 15:19:51
ETL4071287399758145,7121.0,0.23809523809523808,2024-06-06 15:19:51
ETL7811811379611562,6138.0,0.23809523809523808,2024-06-06 15:19:51
ETL6836861188871367,9102.0,0.23809523809523808,2024-06-06 15:19:51
ETL4448779365468899,6761.0,0.23809523809523808,2024-06-06 15:19:51
ETL4071287399758145,6117.0,0.47619047619047616,2024-06-06 16:50:28
ETL2524509934905051,8251.0,0.47619047619047616,2024-06-06 16:50:28
ETL1317714633862637,9652.0,0.47619047619047616,2024-06-06 16:50:28
ETL6836861188871367,7719.0,0.47619047619047616,2024-06-06 16:50:28
ETL1598212059793199,7149.0,0.47619047619047616,2024-06-06 16:50:28
ETL7811811379611562,4911.0,0.47619047619047616,2024-06-06 16:50:28
ETL4448779365468899,5658.0,0.47619047619047616,2024-06-06 16:50:28
ETL4071287399758145,6145.0,0.47619047619047616,2024-06-06 16:50:28
ETL1598212059793199,6689.0,0.47619047619047616,2024-06-06 16:50:28
ETL4448779365468899,5376.0,0.47619047619047616,2024-06-06 16:50:28
ETL2524509934905051,8232.0,0.47619047619047616,2024-06-06 16:50:28
ETL7811811379611562,4851.0,0.47619047619047616,2024-06-06 16:50:28
ETL6836861188871367,7742.0,0.47619047619047616,2024-06-06 16:50:28
ETL1317714633862637,9851.0,0.47619047619047616,2024-06-06 16:50:28
ETL2524509934905051,8093.0,0.47619047619047616,2024-06-06 16:50:28
ETL1598212059793199,6416.0,0.47619047619047616,2024-06-06 16:50:28
ETL4071287399758145,6036.0,0.47619047619047616,2024-06-06 16:50:28
ETL7811811379611562,4865.0,0.47619047619047616,2024-06-06 16:50:28
ETL4448779365468899,5395.0,0.47619047619047616,2024-06-06 16:50:28
ETL6836861188871367,7680.0,0.47619047619047616,2024-06-06 16:50:28
ETL1317714633862637,9946.0,0.47619047619047616,2024-06-06 16:50:28
